url,title,html_url,general_prepro_title,DEVA_prepro_title,"DEVA
valence of text (Vt)","DEVA
arousal of text (At)","DEVA
emotion state of text (Et)",SSSE_prepro_title,"SentiStrength-SE
positive sentiment 
score of text (Pt)","SentiStrength-SE
negative sentiment 
score of comment (Nt)","SentiStrength-SE
overall valence 
of text (Vt)",,,,,
https://api.github.com/repos/Legofarmen/tunics/issues/95,Update tileset.dat and tileset pngs to no new floor model,https://github.com/Legofarmen/tunics/issues/95,update tilesetdat tileset pngs floor model,Update tileset.dat tileset pngs to no floor model,1,-2,Neutral (LA),update tilesetdat tileset pngs to no floor model,1,-1,neutral,,,,,
https://api.github.com/repos/GMOD/jbrowse/issues/1124,Signed OS X electron builds,https://github.com/GMOD/jbrowse/issues/1124,os x electron builds,OS X electron builds,1,-2,Neutral (LA),os x electron builds,1,-1,neutral,,,,,
https://api.github.com/repos/euratom-software/calcam/issues/28,Ability to use non-chessboard intrinsics patterns,https://github.com/euratom-software/calcam/issues/28,ability use nonchessboard intrinsics patterns,Ability to use non-chessboard intrinsics patterns,1,-2,Neutral (LA),ability to use nonchessboard intrinsics patterns,1,-1,neutral,,,,,
https://api.github.com/repos/plone/Products.CMFPlone/issues/1674,Allow multiline form tabs,https://github.com/plone/Products.CMFPlone/issues/1674,allow multiline form tabs,Allow multiline form tabs,1,2,Neutral (HA),allow multiline form tabs,1,-1,neutral,,,,,
https://api.github.com/repos/atlemo/SubtlePatterns/issues/17,Metadata,https://github.com/atlemo/SubtlePatterns/issues/17,metadata,Metadata,1,1,Neutral,metadata,1,-1,neutral,,,,,
https://api.github.com/repos/mehdroid/mehdroid.github.io/issues/1,Fix your stuff,https://github.com/mehdroid/mehdroid.github.io/issues/1,fix stuff,Fix your stuff,1,-2,Neutral (LA),fix your stuff,1,-1,neutral,,,,,
https://api.github.com/repos/uppercase-labs/base-html-site/issues/1,Base color palette needs to move to grayscale,https://github.com/uppercase-labs/base-html-site/issues/1,base color palette needs move grayscale,Base color palette needs to move to grayscale,1,-4,Neutral (LA),base color palette needs to move to grayscale,1,-1,neutral,,,,,
https://api.github.com/repos/WooKeyWallet/monero-wallet-android-app/issues/2,"ENHANCING WOOKEY WALLET WITH THE ADDITION OF SCREEN-LOCK (PIN&PATTERN), DARK MODE AND EXCHANGE RATE FEATURES",https://github.com/WooKeyWallet/monero-wallet-android-app/issues/2,enhancing wookey wallet addition screenlock pinpattern dark mode exchange rate features,"ENHANCING WOOKEY WALLET THE ADDITION OF SCREEN-LOCK (PIN&PATTERN), DARK MODE EXCHANGE RATE FEATURES",1,5,Neutral (HA),enhancing wookey wallet the addition of screenlock pinpattern dark mode exchange rate features,1,-1,neutral,,,,,
https://api.github.com/repos/jakearchibald/sprite-cow/issues/40,Option to switch off the background pattern,https://github.com/jakearchibald/sprite-cow/issues/40,option background pattern,Option to off the background pattern,1,-3,Neutral (LA),option to off the background pattern,1,-1,neutral,,,,,
https://api.github.com/repos/drpout/boilr/issues/77,Dark pinstripe has a minor visible pattern,https://github.com/drpout/boilr/issues/77,dark pinstripe minor visible pattern,Dark pinstripe has a minor visible pattern,1,-3,Neutral (LA),dark pinstripe has a minor visible pattern,1,-1,neutral,,,,,
